                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5076,                 1.0955,                0.86679,                0.48367,                0.94922,                0.49567,                0.48262,                0.19205,                 0.5828,                0.77104,              0.0033326,              0.0033326,              0.0033326
                      2,                0.45517,                 0.7035,                 0.8587,                0.48839,                0.95098,                0.50315,                0.49316,                0.19023,                0.51362,                0.77279,               0.006534,               0.006534,               0.006534
                      3,                0.45859,                0.64821,                0.86303,                0.48944,                0.96927,                0.50391,                0.49519,                0.18387,                0.49118,                0.76942,              0.0096033,              0.0096033,              0.0096033
                      4,                0.42463,                0.62596,                0.86157,                0.49187,                0.96749,                0.50935,                0.50282,                0.15718,                0.46879,                0.76265,               0.009406,               0.009406,               0.009406
                      5,                0.38655,                0.59922,                0.85703,                0.49321,                0.97388,                0.50582,                0.50054,                0.14362,                0.45286,                0.75998,               0.009208,               0.009208,               0.009208
                      6,                0.36279,                0.58579,                0.85447,                0.49492,                0.97163,                0.51757,                0.51268,                0.13791,                0.44434,                0.75899,                0.00901,                0.00901,                0.00901
                      7,                0.34918,                0.57271,                0.85236,                 0.4958,                0.97154,                0.52404,                0.51958,                 0.1334,                 0.4359,                0.75713,               0.008812,               0.008812,               0.008812
                      8,                0.33635,                 0.5627,                0.84794,                0.49692,                0.96853,                0.53585,                0.53138,                0.12891,                0.42882,                0.75643,               0.008614,               0.008614,               0.008614
                      9,                0.32879,                0.56097,                0.84603,                0.49809,                0.96401,                0.54601,                0.54184,                0.12599,                0.42326,                0.75496,               0.008416,               0.008416,               0.008416
                     10,                0.31727,                0.55696,                0.84402,                0.50871,                0.89072,                0.55937,                0.55505,                0.11947,                0.41592,                0.75391,               0.008218,               0.008218,               0.008218
                     11,                0.31323,                0.54643,                0.84418,                 0.5863,                0.62422,                0.58379,                0.57865,                0.11966,                0.40705,                0.75341,                0.00802,                0.00802,                0.00802
                     12,                0.30909,                0.54551,                0.84349,                0.59764,                0.61054,                0.59276,                0.58747,                0.11928,                0.40251,                0.75285,               0.007822,               0.007822,               0.007822
                     13,                0.30401,                0.53826,                0.84081,                0.58628,                0.62814,                0.59412,                0.58891,                0.11741,                0.40169,                0.75261,               0.007624,               0.007624,               0.007624
                     14,                0.30052,                0.53558,                0.84072,                  0.606,                 0.6405,                0.61209,                0.60661,                0.11902,                0.39642,                0.75187,               0.007426,               0.007426,               0.007426
                     15,                0.29677,                0.53533,                0.84031,                0.62648,                 0.6272,                0.62347,                0.61794,                0.11363,                0.39066,                0.75202,               0.007228,               0.007228,               0.007228
                     16,                0.29233,                0.52881,                0.83867,                0.64284,                0.62178,                0.62966,                0.62423,                0.11827,                0.38771,                0.75167,                0.00703,                0.00703,                0.00703
                     17,                0.29259,                0.52776,                0.84087,                0.64301,                0.63282,                0.64697,                0.64159,                0.11813,                0.38407,                0.75209,               0.006832,               0.006832,               0.006832
                     18,                0.28943,                0.52587,                0.84008,                0.66086,                0.63954,                0.65869,                 0.6532,                0.11817,                0.37924,                0.75128,               0.006634,               0.006634,               0.006634
                     19,                0.28493,                0.51675,                0.83881,                0.66941,                0.64042,                0.66604,                0.66041,                0.11631,                0.37467,                0.75068,               0.006436,               0.006436,               0.006436
                     20,                0.28287,                0.51458,                0.83685,                0.67354,                0.64553,                0.66954,                0.66375,                 0.1175,                0.37291,                0.75071,               0.006238,               0.006238,               0.006238
                     21,                0.27927,                 0.5125,                0.83649,                0.67921,                0.64538,                0.67288,                0.66713,                0.11743,                0.36987,                0.75079,                0.00604,                0.00604,                0.00604
                     22,                0.27598,                0.50598,                0.83575,                0.67958,                 0.6521,                0.67641,                0.67074,                0.11746,                0.36811,                0.75082,               0.005842,               0.005842,               0.005842
                     23,                 0.2763,                 0.5093,                0.83609,                   0.69,                0.65416,                0.68138,                0.67558,                0.11719,                0.36563,                0.75052,               0.005644,               0.005644,               0.005644
                     24,                0.27365,                 0.5048,                0.83597,                0.69914,                0.65505,                0.68437,                0.67859,                0.11668,                 0.3637,                0.75037,               0.005446,               0.005446,               0.005446
                     25,                0.27206,                0.49982,                0.83455,                0.70281,                0.65552,                0.68771,                0.68169,                0.11593,                0.36192,                 0.7502,               0.005248,               0.005248,               0.005248
                     26,                0.27204,                0.49539,                0.83609,                0.70972,                 0.6571,                0.69166,                0.68549,                0.11605,                0.35934,                0.75002,                0.00505,                0.00505,                0.00505
                     27,                0.26999,                0.49383,                0.83589,                 0.7113,                0.65722,                 0.6954,                0.68951,                0.11535,                 0.3571,                0.74988,               0.004852,               0.004852,               0.004852
                     28,                0.26611,                0.48203,                0.83445,                 0.7141,                0.66026,                0.69943,                0.69361,                0.11496,                0.35524,                0.74983,               0.004654,               0.004654,               0.004654
                     29,                0.26449,                0.48673,                0.83285,                0.71993,                0.66249,                0.70338,                0.69753,                0.11492,                0.35321,                0.74976,               0.004456,               0.004456,               0.004456
                     30,                0.26165,                0.47563,                0.83224,                0.74374,                0.65817,                0.70782,                0.70197,                0.11419,                0.35075,                0.74968,               0.004258,               0.004258,               0.004258
                     31,                0.26019,                0.47177,                0.83291,                0.74672,                0.66121,                0.71235,                0.70657,                0.11396,                0.34827,                0.74966,                0.00406,                0.00406,                0.00406
                     32,                0.25854,                0.46849,                0.83248,                0.74492,                0.66764,                 0.7169,                0.71105,                0.11312,                0.34607,                0.74961,               0.003862,               0.003862,               0.003862
                     33,                0.25948,                0.46945,                0.83313,                0.75946,                0.66819,                0.72183,                0.71599,                0.11296,                0.34361,                0.74956,               0.003664,               0.003664,               0.003664
                     34,                0.25842,                0.45814,                0.83316,                0.76638,                0.66992,                0.72645,                0.72063,                0.11241,                0.34121,                0.74946,               0.003466,               0.003466,               0.003466
                     35,                 0.2533,                0.45319,                0.83087,                0.76789,                0.67351,                0.73057,                 0.7247,                0.11203,                0.33902,                 0.7494,               0.003268,               0.003268,               0.003268
                     36,                 0.2523,                0.45538,                0.83147,                0.77085,                0.67567,                0.73505,                0.72912,                0.11136,                0.33666,                0.74936,                0.00307,                0.00307,                0.00307
                     37,                0.25007,                0.44472,                0.83016,                0.76856,                0.68027,                0.73914,                0.73327,                0.11086,                0.33455,                0.74928,               0.002872,               0.002872,               0.002872
                     38,                0.24762,                0.43919,                0.83031,                0.77027,                0.68381,                0.74307,                0.73702,                0.11071,                 0.3325,                0.74922,               0.002674,               0.002674,               0.002674
                     39,                0.24793,                0.43568,                0.83026,                0.77086,                0.68705,                0.74736,                0.74142,                0.10998,                0.32995,                0.74913,               0.002476,               0.002476,               0.002476
                     40,                0.24466,                0.42439,                0.82842,                 0.7731,                0.68931,                 0.7518,                0.74583,                0.10984,                 0.3277,                0.74911,               0.002278,               0.002278,               0.002278
                     41,                0.13623,                0.31922,                0.76148,                 0.7665,                0.69936,                0.75795,                0.75188,                0.10881,                0.32444,                0.74897,                0.00208,                0.00208,                0.00208
                     42,                0.13181,                0.30265,                0.76029,                0.76605,                0.70582,                0.76404,                0.75817,                 0.1078,                0.32119,                 0.7488,               0.001882,               0.001882,               0.001882
                     43,                0.12844,                0.28997,                0.75993,                0.76553,                0.71616,                0.77019,                 0.7646,                0.10643,                0.31789,                0.74857,               0.001684,               0.001684,               0.001684
                     44,                0.12672,                0.28411,                 0.7604,                0.77393,                0.71862,                0.77638,                0.77093,                0.10507,                0.31453,                0.74842,               0.001486,               0.001486,               0.001486
                     45,                0.12496,                0.26935,                0.75979,                0.78421,                0.72245,                0.78224,                0.77708,                0.10349,                0.31091,                0.74825,               0.001288,               0.001288,               0.001288
                     46,                0.12223,                0.25817,                0.75889,                0.79374,                0.72617,                 0.7877,                0.78269,                0.10225,                0.30769,                0.74808,                0.00109,                0.00109,                0.00109
                     47,                0.12081,                0.25136,                0.75879,                0.80552,                0.72717,                0.79291,                0.78792,                0.10123,                 0.3047,                0.74793,               0.000892,               0.000892,               0.000892
                     48,                0.11824,                0.23854,                0.75848,                0.81309,                0.72829,                0.79808,                0.79318,                0.10021,                0.30141,                0.74776,               0.000694,               0.000694,               0.000694
                     49,                0.11717,                0.23101,                0.75865,                 0.8225,                0.73104,                 0.8035,                 0.7986,                0.09938,                0.29779,                 0.7476,               0.000496,               0.000496,               0.000496
                     50,                0.11443,                0.22064,                0.75813,                0.83279,                 0.7307,                0.80888,                0.80415,                0.09848,                0.29414,                0.74749,               0.000298,               0.000298,               0.000298
